variable,coef,pvalue,abs_coef
DP02_0138E,-0.013247485295257908,0.9999942780948546,0.013247485295257908
DP05_0063E,0.013243808492419887,0.9999964327215849,0.013243808492419887
DP02_0038M,-0.013162768413488984,0.9999989476728497,0.013162768413488984
DP02_0123M,-0.013032766481044927,0.9999981801168697,0.013032766481044927
DP02_0053E,-0.012979553344845986,0.9999847491180152,0.012979553344845986
DP04_0116M,-0.012968214090134073,0.9999991356408535,0.012968214090134073
DP02_0053PE,-0.01294882594259617,0.999984786094106,0.01294882594259617
DP05_0002E,0.012909006591729763,0.9999908104570231,0.012909006591729763
DP03_0026PE,-0.012673590658367196,0.9999785917127754,0.012673590658367196
DP04_0081E,-0.012658648341678508,0.9999876499328318,0.012658648341678508
DP03_0116PE,-0.0126537650168288,0.9999998554377219,0.0126537650168288
DP03_0004E,-0.01264926324062426,0.9999786477166176,0.01264926324062426
DP03_0046PE,-0.012644900816924003,0.9999786519493449,0.012644900816924003
DP03_0046E,-0.012640333739602338,0.9999786663294044,0.012640333739602338
DP03_0026E,-0.012608594380312086,0.9999787409501116,0.012608594380312086
DP03_0032E,-0.012604774662181276,0.9999787556657541,0.012604774662181276
DP03_0032PE,-0.01258496970122459,0.9999787978810007,0.01258496970122459
DP04_0051E,0.012562565966510932,0.9999866751005471,0.012562565966510932
DP02_0085E,0.01255258746601602,0.9999931153639304,0.01255258746601602
DP05_0073E,-0.012549710928094766,0.9999970856165985,0.012549710928094766
DP03_0072E,0.012426517273572333,0.999992409989394,0.012426517273572333
DP02_0009E,0.012425506220688894,0.9999948752651394,0.012425506220688894
DP04_0083E,0.012360889269192335,0.9999864152466179,0.012360889269192335
DP04_0143E,0.01218973923872179,0.9999904951977088,0.01218973923872179
DP05_0053E,-0.012060193602857448,0.9999906367569966,0.012060193602857448
DP04_0060E,0.012019912879821919,0.9999696251724935,0.012019912879821919
DP03_0015E,-0.011981387485307351,0.9999907434413869,0.011981387485307351
DP04_0034E,-0.011978200425164912,0.9999884317086734,0.011978200425164912
DP04_0011E,-0.011661084461929077,0.9999885310905788,0.011661084461929077
DP04_0023E,0.011566242547445482,0.9999722981409664,0.011566242547445482
DP04_0060M,-0.011500359642509589,0.9999976714500235,0.011500359642509589
DP03_0060E,0.011389381410678226,0.9999956416259278,0.011389381410678226
